Area,Name,Rating,Total Ratings,Address,Latitude,Longitude,Popularity Score,Estimated Monthly Visitors,Average Spend,Estimated Revenue,Cafe Category,
Dadar,Cafe Panama,4.4,611,"Lower Parel Compound, SJ Marg, Lower Parel, Mumbai, Maharashtra 400013, India",19.00022,72.830249,2688.4,15275,? 450.00,"? 68,73,750.00",Popular,
Dadar,"My Regular Place, Dadar",4.1,3936,"Dharamputra Pritam Estate, Dr Babasaheb Ambedkar Marg, Lokmanya Tilak Colony, Dadar, Mumbai, Maharashtra 400014, India",19.0169509,72.8459262,16137.6,98400,? 350.00,"? 3,44,40,000.00",Popular,
Dadar,Dadar Social,4,1011,"Shop 2, Kohinoor Square, East Tower, N C. Kelkar Rd, Ram Ganesh Gadkari Chowk, Dadar West, Mumbai, Maharashtra 400028, India",19.0247929,72.8419709,4044,25275,? 350.00,"? 88,46,250.00",Popular,
Dadar,Blue Tokai Coffee Roasters | Kohinoor Square Dadar,3.9,30,"Kohinoor Square, 4602, N C. Kelkar Marg, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0246695,72.8420142,117,750,? 350.00,"? 2,62,500.00",Average,
Dadar,Cafe Free India,4.2,1675,"Ground Floor, 39/41, NM Joshi Marg, opposite Deepak Cinema, Lower Parel West, Parel, Mumbai, Maharashtra 400013, India",19.0056126,72.8310346,7035,41875,? 350.00,"? 1,46,56,250.00",Popular,
Dadar,Light of Bharat Restaurant,3.9,3574,"Meher Building, Ranade Rd, opp. Senapati Bapat Statue, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.024196,72.837619,13938.6,89350,? 350.00,"? 3,12,72,500.00",Average,
Dadar,Desire Instant Chai Maza Aajaye!,4.7,25,"2R9P+QF5, Gokhale Rd N, Near Kabutar khana, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0193766,72.836246,117.5,625,? 550.00,"? 3,43,750.00",Premium,
Dadar,Cafe 19,4.4,154,"2VG4+XRG, Nathalal Parekh Marg, Matunga East, Mumbai, Maharashtra 400019, India",19.0274327,72.8570909,677.6,3850,? 450.00,"? 17,32,500.00",Popular,
Dadar,Zane's Cafe,4.4,258,"RR House, Todi Mill Compound, Senapati Bapat Marg, opposite Ideal Industrial Estate, Railway Colony, Lower Parel, Mumbai, Maharashtra 400013, India",19.0012553,72.8293676,1135.2,6450,? 450.00,"? 29,02,500.00",Popular,
Dadar,Shirke'S,4.6,62,"Dadar, Mumbai, Maharashtra 400019, India",19.0230621,72.8490805,285.2,1550,? 450.00,"? 6,97,500.00",Premium,
